48.846413, 2.354847
40.656450, -4.700120, Cultural
40.343890, -1.107220, Cultural
39.866889, -4.029417, Cultural
40.965250, -5.664500, Cultural
37.383840, -5.991550, Cultural
39.474440, -6.370000, Cultural
41.380830, 1.082500, Cultural
38.011310, -3.371220, Cultural
38.916110, -6.337780, Cultural
39.452850, -5.327500, Cultural
43.335000, -5.985225, Cultural
40.076620, -2.131740, Cultural
39.474417, -0.378444, Cultural
42.469390, -6.770750, Cultural
41.387780, 2.175000, Cultural
42.325860, -2.864960, Cultural
39.789950, -1.033310, Cultural
41.114722, 1.259306, Cultural
40.481389, -3.368056, Cultural
28.477889, -16.311778, Cultural
38.266667, -0.716667, Cultural
43.011110, -7.553330, Cultural
42.504722, 0.803611, Cultural
42.371389, -3.547222, Cultural
40.036450, -3.609340, Cultural
43.323175, -3.016833, Cultural
42.956337, -7.976892, Cultural
38.871840, 1.835729, Cultural
37.025000, -4.114948, Cultural
8.333333, 80.383333, Cultural
7.915833, 81.000556, Cultural
7.950000, 80.750000, Cultural
7.293611, 80.640278, Cultural
6.021389, 80.218611, Cultural
7.856667, 80.649167, Cultural
18.533333, 31.816667, Cultural
16.074340, 32.857673, Cultural
5.826110, -55.150000, Cultural
59.335140, 17.542640, Cultural
59.966670, 16.008330, Cultural
58.701110, 11.341110, Cultural
59.275560, 18.099440, Cultural
59.323060, 17.883330, Cultural
57.641670, 18.295830, Cultural
65.646110, 22.028610, Cultural
56.166670, 15.583330, Cultural
56.325000, 16.483330, Cultural
60.604720, 15.630830, Cultural
57.100000, 12.383333, Cultural
60.848229, 16.195833, Cultural
46.948060, 7.450280, Cultural
47.423330, 9.377780, Cultural
46.629450, 10.447650, Cultural
46.193140, 9.022420, Cultural
46.062448, 5.887118, Cultural
47.103889, 5.973784, Cultural
33.511390, 36.306390, Cultural
36.233330, 37.166670, Cultural
32.518060, 36.481670, Cultural
34.554170, 38.266670, Cultural
33.922673, 35.833559, Cultural
35.904670, 35.985173, Cultural
39.078281, 67.030781, Cultural
17.007220, 99.789720, Cultural
17.548610, 103.358330, Cultural
14.347780, 100.560560, Cultural
10.066667, 1.133333, Cultural
36.816670, 10.166670, Cultural
36.852780, 10.323330, Cultural
35.296390, 10.706940, Cultural
36.946390, 11.099170, Cultural
35.827780, 10.638610, Cultural
35.681670, 10.103890, Cultural
36.423610, 9.220280, Cultural
41.008470, 28.979930, Cultural
39.371271, 38.121826, Cultural
40.013890, 34.620560, Cultural
38.036610, 38.763690, Cultural
36.335000, 29.320280, Cultural
41.260000, 32.689720, Cultural
39.956440, 26.239000, Cultural
37.070173, 26.929948, Cultural
40.818784, 26.129948, Cultural
36.807673, 31.969062, Cultural
40.184731, 29.062336, Cultural
39.125833, 27.180000, Cultural
37.903100, 39.809812, Cultural
40.500000, 43.137170, Cultural
37.700830, 62.177500, Cultural
42.183180, 59.084940, Cultural
37.140729, 58.198611, Cultural
0.348611, 32.551389, Cultural
50.452580, 30.516860, Cultural
49.841630, 24.031980, Cultural
47.867170, 25.065729, Cultural
44.181337, 33.061892, Cultural
24.067778, 54.947395, Cultural
54.774722, -1.576111, Cultural
52.626389, -2.472778, Cultural
54.116111, -1.573056, Cultural
51.178889, -1.825278, Cultural
53.139722, -4.276944, Cultural
51.841944, -1.361389, Cultural
51.499722, -0.128611, Cultural
51.381389, -2.358611, Cultural
55.663333, -3.783056, Cultural
51.508056, -0.076111, Cultural
51.280000, 1.083333, Cultural
58.996056, -3.188667, Cultural
55.950000, -3.216667, Cultural
51.477778, 0.000000, Cultural
32.379444, -64.677778, Cultural
51.776389, -3.088056, Cultural
53.839167, -1.788333, Cultural
53.028889, -1.488056, Cultural
51.481944, -0.294028, Cultural
53.406667, -2.994444, Cultural
50.136111, -4.954114, Cultural
52.111284, -3.087778, Cultural
56.001111, -2.959392, Cultural
36.122669, -4.912564, Cultural
-8.957780, 39.522780, Cultural
-6.163060, 39.189170, Cultural
-3.865451, 34.974895, Cultural
37.261667, -108.485556, Cultural
39.948611, -75.150000, Cultural
38.658611, -90.061389, Cultural
18.466667, -66.125000, Cultural
40.689444, -74.044722, Cultural
36.063778, -107.970833, Cultural
38.032778, -78.503889, Cultural
36.438890, -105.541670, Cultural
32.207448, -90.976892, Cultural
28.898559, -98.460000, Cultural
-34.467778, -57.853333, Cultural
-33.117778, -57.902170, Cultural
41.378330, 60.363890, Cultural
39.774720, 64.428610, Cultural
39.668610, 67.000000, Cultural
39.050000, 66.833330, Cultural
-17.198573, 168.177719, Cultural
11.400000, -69.683333, Cultural
10.490730, -66.890680, Cultural
16.469440, 107.577780, Cultural
15.883333, 108.333333, Cultural
15.516667, 108.566667, Cultural
21.039444, 104.978229, Cultural
20.078056, 105.175225, Cultural
15.926940, 48.626670, Cultural
15.355556, 44.208056, Cultural
14.198060, 43.330000, Cultural
-20.500000, 28.500000, Cultural
-20.283333, 30.933333, Cultural
-20.158333, 28.376667, Cultural
46.038917, 5.970343, Cultural
-18.250000, -69.162170, Cultural
-28.543333, -54.265833, Cultural
46.848837, 8.207500, Cultural
47.719278, 16.722722, Cultural
59.057778, 25.908281, Cultural
50.174440, 3.231390, Cultural
43.092214, 17.065059, Cultural
33.874948, 107.998229, Cultural
12.832118, -15.522500, Cultural
51.579306, 14.726444, Cultural
54.133618, -2.601000, Cultural
41.890222, 12.492306, Cultural
46.068837, 8.987395, Cultural
55.274580, 20.962390, Cultural
49.104392, 21.032222, Cultural
40.697500, -5.802118, Cultural
37.916284, -3.979895, Cultural
25.500000, 9.000000, Mixed
-12.833333, 132.833333, Mixed
-34.000000, 143.000000, Mixed
-41.583333, 145.416667, Mixed
-25.333333, 131.000000, Mixed
17.041667, 21.003784, Mixed
36.266670, 117.100000, Mixed
30.166670, 118.183330, Mixed
29.544900, 103.769250, Mixed
27.716670, 117.683330, Mixed
-0.500000, 11.500000, Mixed
40.266670, 24.216670, Mixed
39.716670, 21.633330, Mixed
17.216667, -89.616667, Mixed
26.905729, 87.947725, Mixed
31.132725, 46.798784, Mixed
18.077500, -76.141614, Mixed
29.210225, 35.004392, Mixed
14.333330, -3.416670, Mixed
18.053028, -88.878290, Mixed
-39.290833, 175.562222, Mixed
7.246925, 134.352500, Mixed
-13.116667, -72.583333, Mixed
-7.750000, -77.250000, Mixed
38.911139, 1.435194, Mixed
67.333330, 17.583330, Mixed
41.118060, 20.813330, Mixed
38.666670, 34.850000, Mixed
37.923890, 29.123330, Mixed
57.817222, -8.576667, Mixed
-3.187220, 35.540830, Mixed
25.349070, -170.145820, Mixed
19.827170, 105.037395, Mixed
42.685420, -0.000500, Mixed
-28.906284, 29.123056, Mixed
-50.000000, -73.249440, Natural
-25.518056, -54.133333, Natural
-42.500000, -64.000000, Natural
-30.000000, -68.000000, Natural
-18.286111, 147.700000, Natural
-31.565556, 159.088333, Natural
-28.250000, 150.050000, Natural
-15.650000, 144.966667, Natural
-53.100000, 73.500000, Natural
-25.486111, 113.436111, Natural
-54.594722, 158.895556, Natural
-25.216667, 153.133333, Natural
-19.083333, 138.716667, Natural
-33.700000, 150.000000, Natural
-17.500000, 128.500000, Natural
-22.562500, 112.951284, Natural
21.950000, 89.183330, Natural
